BreakdownTTM6/29/20206/29/20196/29/20186/29/2017
Total Revenue	153,284,000	143,015,000	125,843,000	110,360,000	89,950,000
Operating Revenue	153,284,000	143,015,000	125,843,000	110,360,000	89,950,000
Cost of Revenue	48,510,000	46,078,000	42,910,000	38,353,000	34,261,000
Gross Profit	104,774,000	96,937,000	82,933,000	72,007,000	55,689,000
Operating Expense	44,619,000	43,978,000	39,974,000	36,949,000	33,057,000
Selling General and Administrative	24,693,000	24,709,000	23,098,000	22,223,000	20,020,000
General & Administrative Expense	5,187,000	5,111,000	4,885,000	4,754,000	4,481,000
Other G and A	5,187,000	5,111,000	4,885,000	4,754,000	4,481,000
Selling & Marketing Expense	19,506,000	19,598,000	18,213,000	17,469,000	15,539,000
Research & Development	19,926,000	19,269,000	16,876,000	14,726,000	13,037,000
Operating Income	60,155,000	52,959,000	42,959,000	35,058,000	22,632,000
Net Non Operating Interest Income Expense	-2,757,000	-2,591,000	-2,686,000	-2,733,000	-2,222,000
Interest Income Non Operating	-	2,680,000	-	-	-
Interest Expense Non Operating	2,460,000	2,591,000	2,686,000	2,733,000	2,222,000
Other Income Expense	3,328,000	2,668,000	3,415,000	4,149,000	2,739,000
Gain on Sale of Security	3,261,000	2,708,000	3,472,000	4,208,000	3,296,000
Special Income Charges	-	-	0	0	-306,000
Restructuring & Mergers Acquisition	-	-	0	0	306,000
Other Non Operating Income Expenses	67,000	-40,000	-57,000	-59,000	-251,000
Pretax Income	60,726,000	53,036,000	43,688,000	36,474,000	23,149,000
Tax Provision	9,416,000	8,755,000	4,448,000	19,903,000	1,945,000
Net Income Common Stockholders	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Net Income	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Net Income Including Non-Controlling Interests	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Net Income Continuous Operations	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Diluted NI Available to Com Stockholders	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Basic EPS	-	5.82	5.11	2.15	2.74
Diluted EPS	-	5.76	5.06	2.13	2.71
Basic Average Shares	-	7,610,000	7,673,000	7,700,000	7,746,000
Diluted Average Shares	-	7,683,000	7,753,000	7,794,000	7,832,000
Total Operating Income as Reported	60,155,000	52,959,000	42,959,000	35,058,000	22,326,000
Total Expenses	93,129,000	90,056,000	82,884,000	75,302,000	67,318,000
Net Income from Continuing & Discontinued Operation	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Normalized Income	48,554,641	42,019,820	36,122,144	13,499,160	18,453,200
Interest Income	-	2,680,000	-	-	-
Interest Expense	2,460,000	2,591,000	2,686,000	2,733,000	2,222,000
Net Interest Income	-2,757,000	-2,591,000	-2,686,000	-2,733,000	-2,222,000
EBIT	63,186,000	55,627,000	46,374,000	39,207,000	25,371,000
EBITDA	75,214,000	-	-	-	-
Reconciled Cost of Revenue	48,510,000	46,078,000	42,910,000	38,353,000	34,261,000
Reconciled Depreciation	12,028,000	12,796,000	11,682,000	10,261,000	8,778,000
Net Income from Continuing Operation Net Minority Interest	51,310,000	44,281,000	39,240,000	16,571,000	21,204,000
Total Unusual Items Excluding Goodwill	3,261,000	2,708,000	3,472,000	4,208,000	2,990,000
Total Unusual Items	3,261,000	2,708,000	3,472,000	4,208,000	2,990,000
Normalized EBITDA	71,953,000	65,715,000	54,584,000	45,260,000	31,159,000
Tax Rate for Calcs	0	0	0	0	0
Tax Effect of Unusual Items	505,641	446,820	354,144	1,136,160	239,200
